"x","y","z","bhd"
101.636,-4.782,5.22,70.5
122.779,3.421,6.65,61.6
28.569,8.946,-1.156,54.5
5.234,21.902,-3.979,54
113.417,-10.618,5.052,53.9
37.154,35.245,0.641,53.7
0.838,44.839,-5.038,52.3
63.142,3.854,1.507,52.3
54.074,39.679,2.428,51.7
104.909,6.912,6.172,49.7
19.209,7.13,-1.709,49.2
111.451,5.909,6.585,48.9
58.567,-3.165,1.219,48.6
68.214,37.537,4.007,48.1
36.035,-0.141,-0.581,47.8
75.05,-3.685,2.555,47.4
49.048,45.118,2.569,47.3
143.572,-7.568,5.907,47.3
52.082,22.715,0.86,47.2
116.459,0.295,6.143,47.2
62.606,21.554,2.054,46.9
108.951,-4.829,5.382,46.8
113.537,14.808,7.578,46.7
98.496,15.032,6.071,46.6
128.469,-52.417,0.946,46.5
20.56,21.103,-2.404,46.4
35.306,30.861,-0.0230000000000001,46.3
146.965,-35.989,2.891,46.3
79.016,-52.682,-0.654,46.2
89.331,17.373,5.236,46.2
9.362,48.33,-3.287,46.1
132.814,-16.47,4.509,46.1
159.407,-18.586,4.67,46
35.26,-22.294,-1.24,46
46.962,22.473,0.51,45.8
133.468,-12.182,5.053,45.8
110.162,18.151,7.629,45.7
157.018,-11.493,5.132,45.7
15.918,44.11,-2.005,45.5
49.152,11.139,0.233,45.3
46.069,5.531,0.116,45.2
145.637,-19.013,4.671,45.1
76.534,15.273,3.278,44.9
0.388,4.724,-2.053,44.8
119.977,-9.665,5.135,44.5
57.663,48.294,2.973,44.5
102.779,2.861,5.828,44.3
149.169,-23.577,4.513,44.3
94.814,21.355,6.002,44.2
2.531,12.057,-3.314,44.2
-5.779,78.249,-9.288,44.2
111.556,-18.66,4.08,44.2
110.145,-45.721,1.323,44
93.438,23.435,5.981,44
121.156,-46.199,1.366,43.9
128.658,-46.544,1.53,43.7
145.603,-29.18,3.515,43.6
126.133,-9.865,5.179,43.6
93.286,4.451,5.086,43.5
48.872,-10.303,0.335,43.3
89.455,26.087,5.618,42.9
150.442,-19.458,5.296,42.7
99.679,-9.9,4.508,42.6
91.198,-10.06,3.831,42.5
28.105,58.57,-0.126,42.5
140.601,-14.496,5.006,42.5
